profile,quantile,scope,metric,arm,cap,unit,equal_scenario_feasibility,min_scenario_feasibility,max_scenario_feasibility,feasible_streams,total_streams
POOLED_Q75,0.75,joint_all_six,ALL_CANONICAL_AXES,POPULATION-RESEED,,vector budget,0.23482142857142857,0.0,0.9125,263,1120
POOLED_Q75,0.75,joint_all_six,ALL_CANONICAL_AXES,PERSIST,,vector budget,0.5428571428571428,0.1,0.875,608,1120
POOLED_Q75,0.75,joint_five_non_latency,ALL_EXCEPT_PREDICTION,CHAMPION-RESEED,,vector budget,0.6285714285714284,0.1625,1.0,704,1120
POOLED_Q75,0.75,joint_five_non_latency,ALL_EXCEPT_PREDICTION,POPULATION-RESEED,,vector budget,0.24910714285714283,0.0,1.0,279,1120
POOLED_Q75,0.75,joint_five_non_latency,ALL_EXCEPT_PREDICTION,PERSIST,,vector budget,0.7258928571428571,0.3125,1.0,813,1120
POOLED_Q90,0.9,single_axis,total_apw,CHAMPION-RESEED,65317199.0,APW_v1,1.0,1.0,1.0,1120,1120
POOLED_Q90,0.9,single_axis,total_apw,POPULATION-RESEED,65317199.0,APW_v1,0.700892857142857,0.325,1.0,785,1120
POOLED_Q90,0.9,single_axis,total_apw,PERSIST,65317199.0,APW_v1,1.0,1.0,1.0,1120,1120
POOLED_Q90,0.9,single_axis,process_cpu_seconds,CHAMPION-RESEED,15.5368125,seconds,0.8982142857142856,0.625,1.0,1006,1120
POOLED_Q90,0.9,single_axis,process_cpu_seconds,POPULATION-RESEED,15.5368125,seconds,0.8776785714285714,0.6,1.0,983,1120
POOLED_Q90,0.9,single_axis,process_cpu_seconds,PERSIST,15.5368125,seconds,0.9241071428571429,0.7375,1.0,1035,1120
POOLED_Q90,0.9,single_axis,elapsed_seconds,CHAMPION-RESEED,14.4468065554,seconds,0.8982142857142856,0.6,1.0,1006,1120
POOLED_Q90,0.9,single_axis,elapsed_seconds,POPULATION-RESEED,14.4468065554,seconds,0.875,0.575,1.0,980,1120
POOLED_Q90,0.9,single_axis,elapsed_seconds,PERSIST,14.4468065554,seconds,0.9267857142857142,0.75,1.0,1038,1120
POOLED_Q90,0.9,single_axis,prediction_ns_per_prediction,CHAMPION-RESEED,707.6015249999999,nanoseconds per prediction,0.8973214285714286,0.825,0.9625,1005,1120
POOLED_Q90,0.9,single_axis,prediction_ns_per_prediction,POPULATION-RESEED,707.6015249999999,nanoseconds per prediction,0.9401785714285715,0.8625,1.0,1053,1120
POOLED_Q90,0.9,single_axis,prediction_ns_per_prediction,PERSIST,707.6015249999999,nanoseconds per prediction,0.8624999999999999,0.6125,0.975,966,1120
POOLED_Q90,0.9,single_axis,state_snapshot_mib,CHAMPION-RESEED,4.567833757400512,MiB,0.9035714285714286,0.6625,1.0,1012,1120
POOLED_Q90,0.9,single_axis,state_snapshot_mib,POPULATION-RESEED,4.567833757400512,MiB,0.8330357142857144,0.425,1.0,933,1120
POOLED_Q90,0.9,single_axis,state_snapshot_mib,PERSIST,4.567833757400512,MiB,0.9633928571428572,0.8625,1.0,1079,1120
POOLED_Q90,0.9,single_axis,provenance_mib,CHAMPION-RESEED,377.17344412803646,MiB,0.8723214285714286,0.55,1.0,977,1120
POOLED_Q90,0.9,single_axis,provenance_mib,POPULATION-RESEED,377.17344412803646,MiB,0.84375,0.525,1.0,945,1120
POOLED_Q90,0.9,single_axis,provenance_mib,PERSIST,377.17344412803646,MiB,0.9839285714285716,0.925,1.0,1102,1120
POOLED_Q90,0.9,joint_all_six,ALL_CANONICAL_AXES,CHAMPION-RESEED,,vector budget,0.7517857142857142,0.4875,0.9625,842,1120
POOLED_Q90,0.9,joint_all_six,ALL_CANONICAL_AXES,POPULATION-RESEED,,vector budget,0.6383928571428573,0.1875,1.0,715,1120
POOLED_Q90,0.9,joint_all_six,ALL_CANONICAL_AXES,PERSIST,,vector budget,0.7991071428571427,0.45,0.975,895,1120
POOLED_Q90,0.9,joint_five_non_latency,ALL_EXCEPT_PREDICTION,CHAMPION-RESEED,,vector budget,0.8321428571428571,0.525,1.0,932,1120
POOLED_Q90,0.9,joint_five_non_latency,ALL_EXCEPT_PREDICTION,POPULATION-RESEED,,vector budget,0.675,0.25,1.0,756,1120
POOLED_Q90,0.9,joint_five_non_latency,ALL_EXCEPT_PREDICTION,PERSIST,,vector budget,0.9071428571428573,0.725,1.0,1016,1120
POOLED_Q95,0.95,single_axis,total_apw,CHAMPION-RESEED,65317690.15,APW_v1,1.0,1.0,1.0,1120,1120
POOLED_Q95,0.95,single_axis,total_apw,POPULATION-RESEED,65317690.15,APW_v1,0.85,0.65,1.0,952,1120
POOLED_Q95,0.95,single_axis,total_apw,PERSIST,65317690.15,APW_v1,1.0,1.0,1.0,1120,1120
