global_schedule_index,segment,scenario_id,realisation,source_key_hex,arm,mean_loss_2000,adaptation_apw_total,construction_apw_total,prediction_time_ns_total,state_snapshot_bytes,provenance_event_bytes,provenance_event_count,total_apw,process_cpu_ns_total,elapsed_ns_total,process_cpu_seconds,elapsed_seconds,prediction_ns_per_prediction,peak_rss_bytes,peak_rss_mib,state_snapshot_mib,provenance_mib
100,R4,LOCAL_TREE-ABRUPT-SEVERE,20,87dcd5f356f423fb,POPULATION-RESEED,0.21525,65312520.0,1908.0,1164410.0,2778889.5,241716399.0,339550.0,65314428.0,11148736500.0,10614133877.5,11.1487365,10.6141338775,582.205,363847680.0,346.9921875,2.650155544281006,230.51872158050537
101,R4,LOCAL_TREE-ABRUPT-SEVERE,21,b2c22ac4bcaef029,CHAMPION-RESEED,0.2465,65312520.0,14.0,5827204.0,3027730.5,268532687.5,383293.5,65312534.0,12140400500.0,11342292372.0,12.1404005,11.342292372,2913.602,357748736.0,341.17578125,2.8874688148498535,256.09272718429565
101,R4,LOCAL_TREE-ABRUPT-SEVERE,21,b2c22ac4bcaef029,PERSIST,0.2475,65312520.0,0.0,1272951.0,3659938.5,230643300.0,368257.0,65312520.0,11843498500.0,11067773129.5,11.8434985,11.0677731295,636.4755,341202944.0,325.396484375,3.490389347076416,219.95859146118164
101,R4,LOCAL_TREE-ABRUPT-SEVERE,21,b2c22ac4bcaef029,POPULATION-RESEED,0.2245,65312520.0,2048.0,1259704.0,3450796.0,269576231.5,376384.0,65314568.0,12007650000.0,11304507001.0,12.00765,11.304507001,629.852,360845312.0,344.12890625,3.290935516357422,257.0879282951355
102,R4,LOCAL_TREE-ABRUPT-SEVERE,22,3bab12cf14a11356,CHAMPION-RESEED,0.2655,65312520.0,13.0,1253203.5,2858507.0,260934508.5,373894.0,65312533.0,11660446500.0,11121312485.0,11.6604465,11.121312485,626.60175,335353856.0,319.818359375,2.7260847091674805,248.84653902053833
102,R4,LOCAL_TREE-ABRUPT-SEVERE,22,3bab12cf14a11356,PERSIST,0.23925000000000002,65312520.0,0.0,1157503.0,2942385.0,219391018.5,351942.5,65312520.0,11234952000.0,10691444386.5,11.234952,10.6914443865,578.7515,329601024.0,314.33203125,2.806077003479004,209.22757959365845
102,R4,LOCAL_TREE-ABRUPT-SEVERE,22,3bab12cf14a11356,POPULATION-RESEED,0.242,65312520.0,1926.0,1154171.0,3246252.5,249790000.5,349652.0,65314446.0,11402269500.0,10882747555.5,11.4022695,10.8827475555,577.0855,340512768.0,324.73828125,3.09586763381958,238.21830797195435
103,R4,LOCAL_TREE-ABRUPT-SEVERE,23,33f5644126ac263f,CHAMPION-RESEED,0.25,65312520.0,15.0,1165232.0,3059157.5,279383681.5,398998.5,65312535.0,12324135000.0,11516024041.5,12.324135,11.5160240415,582.616,391118848.0,373.0,2.9174399375915527,266.441041469574
103,R4,LOCAL_TREE-ABRUPT-SEVERE,23,33f5644126ac263f,PERSIST,0.24375,65312520.0,0.0,1237251.0,2257469.0,222556889.0,358299.5,65312520.0,11633299000.0,10869303244.5,11.633299,10.8693032445,618.6255,383735808.0,365.958984375,2.152890205383301,212.24678897857666
103,R4,LOCAL_TREE-ABRUPT-SEVERE,23,33f5644126ac263f,POPULATION-RESEED,0.257,65312520.0,2471.0,1111459.5,3301260.5,285994715.5,398523.0,65314991.0,12355454500.0,11551390612.5,12.3554545,11.5513906125,555.72975,408774656.0,389.837890625,3.148327350616455,272.74581480026245
104,R4,LOCAL_TREE-ABRUPT-SEVERE,24,e46474a7e951e359,CHAMPION-RESEED,0.218,65312520.0,12.0,1174308.0,2581494.5,243456234.5,351749.0,65312532.0,11418434500.0,10710422781.5,11.4184345,10.7104227815,587.154,305698816.0,291.537109375,2.461905002593994,232.1779580116272
104,R4,LOCAL_TREE-ABRUPT-SEVERE,24,e46474a7e951e359,PERSIST,0.2085,65312520.0,0.0,1258294.0,2364960.0,195849910.0,315626.5,65312520.0,10868679500.0,10165724810.0,10.8686795,10.16572481,629.147,298528768.0,284.69921875,2.255401611328125,186.7770290374756
104,R4,LOCAL_TREE-ABRUPT-SEVERE,24,e46474a7e951e359,POPULATION-RESEED,0.22849999999999998,65312520.0,1767.0,1149870.0,2335997.5,227024551.5,320504.5,65314287.0,10976115000.0,10321852555.5,10.976115,10.3218525555,574.935,327921664.0,312.73046875,2.227780818939209,216.507483959198
105,R4,LOCAL_TREE-ABRUPT-SEVERE,25,64aa355050705feb,CHAMPION-RESEED,0.2195,65312520.0,12.0,1223565.0,2379129.0,257506341.0,369517.5,65312532.0,11574928500.0,11055277305.5,11.5749285,11.0552773055,611.7825,371636224.0,354.419921875,2.268914222717285,245.5771837234497
105,R4,LOCAL_TREE-ABRUPT-SEVERE,25,64aa355050705feb,PERSIST,0.235,65312520.0,0.0,1261447.5,2767209.5,210299045.0,335236.5,65312520.0,11129132000.0,10577091404.5,11.129132,10.5770914045,630.72375,362397696.0,345.609375,2.639016628265381,200.5567979812622
105,R4,LOCAL_TREE-ABRUPT-SEVERE,25,64aa355050705feb,POPULATION-RESEED,0.23325,65312520.0,1740.0,1151562.0,2328814.5,226164947.0,320020.0,65314260.0,10820435500.0,10364319257.0,10.8204355,10.364319257,575.781,373633024.0,356.32421875,2.220930576324463,215.68770122528076
106,R4,LOCAL_TREE-ABRUPT-SEVERE,26,9a4ee481319d4b3f,CHAMPION-RESEED,0.23125,65312520.0,15.0,1296856.0,3731415.5,286482351.0,406624.0,65312535.0,12092066500.0,11510648858.5,12.0920665,11.5106488585,648.428,399392768.0,380.890625,3.5585551261901855,273.21086025238037
106,R4,LOCAL_TREE-ABRUPT-SEVERE,26,9a4ee481319d4b3f,PERSIST,0.23025,65312520.0,0.0,1322114.0,2641906.5,215485392.0,347505.0,65312520.0,11172433500.0,10619062763.5,11.1724335,10.6190627635,661.057,389670912.0,371.619140625,2.5195183753967285,205.5028839111328
106,R4,LOCAL_TREE-ABRUPT-SEVERE,26,9a4ee481319d4b3f,POPULATION-RESEED,0.2435,65312520.0,2198.0,1232693.5,3958289.0,284284321.5,394285.5,65314718.0,12012568500.0,11463745852.5,12.0125685,11.4637458525,616.34675,408150016.0,389.2421875,3.774918556213379,271.1146559715271
107,R4,LOCAL_TREE-ABRUPT-SEVERE,27,54719d90188bf976,CHAMPION-RESEED,0.22699999999999998,65312520.0,16.0,1258684.0,3964264.5,303660915.5,429672.0,65312536.0,12632118500.0,12025163123.0,12.6321185,12.025163123,629.342,408098816.0,389.193359375,3.7806172370910645,289.59361600875854
107,R4,LOCAL_TREE-ABRUPT-SEVERE,27,54719d90188bf976,PERSIST,0.22949999999999998,65312520.0,0.0,1317464.5,2813817.0,234801938.5,376077.5,65312520.0,11690991000.0,11065716557.5,11.690991,11.0657165575,658.73225,396414976.0,378.05078125,2.683465003967285,223.92457818984985
107,R4,LOCAL_TREE-ABRUPT-SEVERE,27,54719d90188bf976,POPULATION-RESEED,0.21675,65312520.0,2239.0,1289908.0,3925504.5,301249893.5,416961.5,65314759.0,12580812500.0,11943843734.5,12.5808125,11.9438437345,644.954,418664448.0,399.26953125,3.743652820587158,287.2942862510681
108,R4,LOCAL_TREE-ABRUPT-SEVERE,28,b2128b02b682e863,CHAMPION-RESEED,0.17325000000000002,65312520.0,8.0,1268366.0,1983830.5,210063091.5,307615.0,65312528.0,10478763000.0,9975932867.0,10.478763,9.975932867,634.183,369860608.0,352.7265625,1.8919281959533691,200.33177518844604
108,R4,LOCAL_TREE-ABRUPT-SEVERE,28,b2128b02b682e863,PERSIST,0.22849999999999998,65312520.0,0.0,1198606.5,2706703.0,212699535.5,339808.5,65312520.0,11109931000.0,10453977133.5,11.109931,10.4539771335,599.30325,359014400.0,342.3828125,2.581313133239746,202.8460841178894
