arm,mean_loss_2000,total_apw,process_cpu_seconds,elapsed_seconds
CHAMPION-RESEED,0.2309392857142857,65312542.93928571,12.432636079910711,11.686357510505356
POPULATION-RESEED,0.2312948660714285,65315909.743303575,12.343092984375003,11.59492057077902
PERSIST,0.2315220982142857,65312519.990625,12.116824470089284,11.329562647962948
