method	mean_loss	process_cpu_seconds	elapsed_seconds	supervisor_elapsed_seconds	mean_peak_rss_mib	maximum_peak_rss_mib	p95_prediction_latency_microseconds	expected_errors_per_24000
HAT	0.18751845238095236	3.4055783122285717	3.406581395121428	4.463283210035715	117.64917689732145	119.01953125	40.00545357142857	4500.442857142856
ARF	0.18693467261904764	30.515752121478567	30.524153695317857	31.630643518264282	181.06725725446427	240.37109375	214.43043571428572	4486.432142857144
EFDT	0.21862306547619048	7.513633502057142	7.515703469271429	8.585478311267858	117.75848214285715	119.234375	23.43099642857143	5246.953571428571
SRP	0.1818824404761905	78.23234610784287	78.2527302907143	79.32764923903571	233.4002232142857	313.48046875	298.60691071428573	4365.1785714285725
FROZEN_CART	0.283885119047619	3.021983017425	3.023097390357143	4.096524070775	133.53713727678573	134.515625	125.81103571428571	6813.242857142855
ROLLING_CART	0.24644270833333332	6.80394103539643	6.805918742725	7.873443350475	134.3296177455357	135.61328125	132.28130357142857	5914.625
