arm	mean_loss_2000	adaptation_apw_total	process_cpu_seconds	elapsed_seconds	mean_peak_rss_mib	maximum_peak_rss_mib	prediction_milliseconds	end_state_snapshot_mib
PERSIST	0.23180690476190477	65312519.99488096	6.521359177142858	6.554711635845833	349.7340699404763	600.994140625	1.8262878403571428	2.8280025246029807
RESTART-CART	0.2377969047619047	65312519.99226191	6.700065188809524	6.733925400536906	350.2231561569941	600.994140625	1.4964673694047619	3.132131686891828
CHAMPION-RESEED	0.23162244047619046	65312519.994523816	6.584721489880953	6.618633179258691	350.45335286458334	600.994140625	1.5349378725000002	2.969814908504486
