estimand,definition,estimate,ci_lower,ci_upper,holm_p,classification
J₁,CHAMPION-RESEED minus POPULATION-RESEED,-0.00035558035714285715,-0.0009869213581424428,0.00027576064385672857,0.405,EQUIVALENT
J₂,POPULATION-RESEED minus PERSIST,-0.00022723214285714285,-0.0008356746178180451,0.0003812103321037594,0.4067,EQUIVALENT
